ACCESSION,SPECIES,STRAIN,NCBI_TAXID,BIOPROJECT,N50,ASM_NAME
GCA_014822065.1,Fusarium acaciae-mearnsii,NRRL 26754,282272,PRJNA436741,147676,ASM1482206v1
GCA_013363215.1,Fusarium acuminatum,F829,5515,PRJNA596296,38483,ASM1336321v1
GCA_012932015.1,Fusarium acutatum,NRRL 13308,78861,PRJNA565749,114620,ASM1293201v1
GCA_001654545.1,Fusarium agapanthi,NRRL 54464,1803897,PRJNA312368,63438,ASM165454v1
GCA_013618265.1,Fusarium albidum,NRRL_22152,1237067,PRJNA416189,12371,ASM1361826v1
GCA_012931995.1,Fusarium albosuccineum,NRRL 20459,1237068,PRJNA596284,23241,ASM1293199v1
GCA_002982035.1,Fusarium algeriense,NRRL 66648,2050978,PRJNA416189,49941,ASM298203v1
GCA_003947045.1,Fusarium ambrosium,NRRL 20438,131363,PRJNA389173,121643,NRRL20438v1
GCA_012977745.1,Fusarium anguioides,NRRL 25385,183586,PRJNA485357,110097,ASM1297774v1
GCA_013364935.1,Fusarium anthophilum,NRRL 25214,48485,PRJNA565749,124798,ASM1336493v1
GCA_013618295.1,Fusarium armeniacum,NRRL 25141,679435,PRJNA436741,267748,ASM1361829v1
GCA_001717845.1,Fusarium asiaticum,NRRL6101,282267,PRJNA291971,584982,ASM171784v1
GCA_012932025.1,Fusarium austroafricanum,NRRL 53441,2364996,PRJNA485357,84818,ASM1293202v1
GCA_009617525.1,Fusarium austroamericanum,28FRS,282268,PRJNA542165,436476,Faus154
GCA_000769295.1,Fusarium avenaceum,FaLH27,40199,PRJNA253730,4137378,Fave_LH27
GCA_013186375.1,Fusarium aywerte,NRRL 25410,427292,PRJNA596283,108635,ASM1318637v1
GCA_001680625.1,Fusarium azukicola,NRRL 54364,1174670,PRJNA289542,3382,ASM168062v1
GCA_012977765.1,Fusarium babinda,NRRL 25533,48486,PRJNA485357,110403,ASM1297776v1
